phrase,usage,meaning
elbow grease,idiomatic,"hard work and effort, particularly physical effort, put into a task to make something function properly or to achieve a result."
night owl,idiomatic,"a person who habitually stays up late at night, often being more active or productive during the night than in the morning."
heart of gold,idiomatic,"the private eye has a kind and generous nature, despite his seedy appearance and failed career."
agony aunt,idiomatic,"a person or entity that provides advice and support, particularly in relation to problems or concerns, similar to how an 'agony aunt' in advice columns helps people with personal issues."
shrinking violet,idiomatic,"something that is bold, robust, or assertive; in this context, it describes the wine as having a strong and impactful flavor profile."
green fingers,idiomatic,"the ability to grow plants well, often associated with a talent for gardening; in this context, it implies that the toddler has paint on her hands, making them appear green, while suggesting she has a creative and artistic inclination."
ancient history,literal,"the study or knowledge of events, cultures, and civilizations of Greece and Rome that occurred long ago, i.e., in ancient times, and their ongoing impact on contemporary society."
banana republic,idiomatic,"a politically unstable country that is economically dependent on the export of a limited resource, often characterized by corruption and the exploitation of power."
devil's advocate,literal,"a role or person that argues against a position or point of view as a means of stimulating discussion or testing the validity of that position, and in the context, it refers to a character who literally holds this role in a setting related to the afterlife."
private eye,idiomatic,"a private investigator or detective, someone who is hired to investigate or gather information discreetly."
pipe dream,idiomatic,"a hope or plan that is unrealistic or fanciful; in this context, it suggests that achieving the ultimate night's sleep is no longer considered an unrealistic or impossible goal."
piece of cake,literal,a small portion of a baked dessert (cake) that he is physically eating.
rocket science,idiomatic,a task or concept that is not complex or difficult; suggesting that the subject being discussed is simple and does not require advanced knowledge or skills to understand.
brass ring,literal,"a physical ring made of brass that serves as a strong frame for a composite gaming chip, featuring axial protrusions and a central aperture with notches."
apples and oranges,literal,"referring specifically to the actual fruits, apples and oranges, and comparing their physical characteristics and flavors."
nest egg,idiomatic,"a fund or savings set aside for future needs, especially for emergencies or financial security."
ghost town,idiomatic,"an abandoned or deserted town that gives the impression of being haunted or empty, often associated with an eerie atmosphere."
bull market,idiomatic,"a financial market condition characterized by rising prices, suggesting strong investor confidence and an expectation that the upward trend will continue."
beached whale,idiomatic,"referring to a subject or entity that is out of place, struggling, or in a state of vulnerability, much like a whale that is stranded on shore and unable to return to the water."
flower child,idiomatic,"a person, typically associated with the counterculture of the 1960s and 1970s, who embodies peace, love, and a connection to nature, often lit with vibrant, colorful imagery, as suggested by the reference to petals and leaves."
copy cat,idiomatic,"a person or animal who imitates the behavior or actions of another, suggesting playfulness and mimicry as seen in the kitten mimicking yoga poses."
lounge lizard,idiomatic,"a man who spends time in lounges or nightclubs, often engaging in flirtation or seeking out casual social interactions, typically characterized by a flashy appearance."
secret santa,idiomatic,"a person who anonymously gives a gift to another, typically as part of a gift exchange tradition during the holiday season."
dirty word,literal,"a word that is literally formed using mud or dirt, which could be considered 'dirty' in the physical sense, rather than referring to an obscene or offensive word."
close shave,idiomatic,"a shaving technique that results in very short stubble, often leading to smoother skin, but may also cause irritation or ingrown hairs for some individuals."
donkey work,literal,"the physical labor involved in moving or handling the work or items from the stable, likely referring to tasks that require effort and may involve the shelter of the stable due to rain."
bear market,idiomatic,"a market condition characterized by a decline in prices for stocks or asset values, typically defined as a decrease of 20% or more from recent highs, indicating a downturn in investor confidence."
